# Akram-ut-Tarajum — Urdu OCR ground-truth corpus
# Source: https://www.naqshbandiaowaisiah.org/quran
# Format: surah:ayah<TAB>Urdu
001:001	شروع اللہ کے نام سے جو بڑے مہربان نہایت رحم کرنے والے ہیں -
017:059	اور ہم نے نشانیاں (فرمائشی معجزات)بھیجنا اس لئے بند کردیں کہ اگلے لوگوں نے ان کی تکذیب کی اور ہم نے ثمود کو اونٹنی دی جو کھلی نشانی (معجزہ) تھی تو انہوں نے اس کے ساتھ ظلم کیا اورہم ایسے معجزات کو صرف (انجام بد سے)ڈرانے کے لئے بھیجا کرتے ہیں۔
017:060	اور جب ہم نے آپ سے فرمایا کہ بے شک آپ کا پروردگار (اللہ تمام)لوگوں کو گھیرے (احاطہ کئے)ہوئے ہے اور جو واقعہ (واقعہ معراج)ہم نے آپ کو (بیداری میں )دکھایا اس کو لوگوں کے لئے آزمائش کا سبب بنا دیا اور اسی طرح (تھوہر کے)درخت کو جس پر قرآن میں لعنت کی گئی۔ اور ہم ان کو ڈراتے ہیں تو ان کو بڑی سرکشی پیدا ہوتی ہے۔
017:061	اور جب ہم نے فرشتوں سے فرمایا کہ آدم (علیہ السلام)کو سجدہ کرو تو سب نے سجدہ کیا مگر ابلیس نے (نہ کیا اور)کہا کیا میں ایسے شخص کو سجدہ کروں جس کو آپ نے مٹی سے پیدا فرمایا؟۔
017:062	کہنے لگا بھلا دیکھیں تو یہی ہے وہ جس کو آپ نے مجھ پر فضیلت بخشی ہے اگر آپ مجھے قیامت کے دن تک مہلت دے دیں تو میں ضرور تھوڑے لوگوں کے سوا ان کی اولاد کو تباہ کرتا رہوں گا۔
017:063	ارشاد ہوا یہاں سے چلا جا پس جوان میں سے تیری بات مانے گا تو بے شک تم سب کی سزا جہنم ہے، پوری پوری سزا۔
017:064	اور ان میں سے جس کو بہکا سکے اپنی آواز سے بہکاتا رہ اور ان پر اپنے سوار اور پیادے چڑھا کر لاتا رہ اور ان کے مال اور اولاد میں شریک ہوتا رہ اور ان سے وعدہ کرتا رہ اور شیطان ان سے جو وعدے کرتا ہے سب دھوکا ہیں۔
017:065	بے شک میرے (مخلص)بندوں پر تیرا کوئی بس نہ چلے گا اور آپ کا پروردگار کارساز کافی ہے۔
017:066	تمہارا پروردگار وہ ہے جو تمہارے لئے سمندر میں جہاز چلاتا ہے تاکہ تم اس کے فضل میں سے (روزی)تلاش کرو بے شک وہ تم پر مہربان ہے۔
017:067	اور جب تم کو سمندر میں تکلیف پہنچتی ہے تو (اللہ)کے علاوہ جتنوںکی تم عبادت کرتے ہو سب گم ہوجاتے ہیں پھر جب ہم تم کو خشکی کی طرف بچا لاتے ہیں تو تم منہ پھیر لیتے ہو اور انسان بڑا ناشکرا ہے۔
017:068	سو کیا تم (اس بات سے)بے خوف ہوکر وہ تمہیں خشکی کی طرف (لے جاکر)زمین میں دھنسا دے یا تم پر ایسی تیز ہوا بھیج دے جو کنکر پتھر برسانے لگے؟ پھر تم اپنا کوئی نگہبان نہ پاؤ۔
017:069	یا تم (اس بات سے)بے خوف ہوگئے ہو کہ تم کو اس (سمندر)میں دوبارہ لے جائے پھر تم پر ہوا کا سخت طوفان بھیج دے؟ پس تمہارے کفر کی وجہ سے تمہیں غرق کردے پھر تم اپنے لئے کوئی ہمارا پیچھا کرنے والا نہ پاؤ۔
017:070	اور بے شک ہم نے بنی آدمؑ کو عزت بخشی اور ان کو خشکی اور سمندر میں سواری دی اور ان کو پاکیزہ چیزیں عطا فرمائیں اور ہم نے ان کو اپنی بہت سی مخلوقات پر فضیلت بخشی۔
017:071	اور جس دن ہم تمام لوگوں کو ان کے پیشواؤں کے ساتھ بلائیں گے تو جن کتاب ان کے داہنے ہاتھ میں دی جائے گی سو وہ (خوش ہوکر)اپنی کتاب (اعمال نامہ)کو پڑھیں گے اور ان پر ذرہ بھر زیادتی نہ کی جائے گی۔
017:072	اور جو شخص اس (دنیا)میں اندھا ہے سو وہ آخرت میں بھی اندھا ہوگا اور (نجات کے)راستے سے بہت دور۔
017:073	اور یہ اس سے آپ کو بہکانے میں لگے تھے جو ہم نے آپ پر وحی بھیجی ہے تاکہ آپ اس کے سوا ہماری نسبت اور باتیں بنالیں اور اس وقت وہ آپ کو دوست بنالیتے۔
017:074	اور اگر ہم آپ کو ثابت قدم نہ رکھتے تو (ہوسکتا ہے)آپ ان کی طرف کسی قدر مائل ہونے لگتے۔
017:075	(اگر ایسا ہوتا)تو ہم آپ کی زندگی میں بھی دگنا اور مدت حیات پورا ہونے کے بعد بھی دگنا (عذاب)ضرور چکھاتے پھر آپ ہمارے مقابلہ میں کسی کو بھی اپنا مددگار نہ پاتے۔
017:076	اور یہ لوگ اس سرزمین سے آپ کے قدم ہی اکھاڑنے لگے تھے تاکہ آپ کو اس سے نکال دیں اور پھر (اگر ایسا ہوتا تو)آپ کے بعد یہ بھی بہت کم رہ پاتے۔
017:077	جو پیغمبر ہم نے آپ سے پہلے بھیجے تھے (ان کے باب میں ہمارا)یہی قاعدہ رہا ہے اور آپ ہمارے (اس)قاعدے میں تغیر وتبدل نہ پائیں گے۔
017:078	سورج کے ڈھلنے سے رات کے اندھیرے تک (ظہر، عصر ، مغرب، عشاء)نمازیں اور صبح کو قرآن پڑھا کریں بے شک صبح کے وقت کا قرآن (نماز)پڑھنا (فرشتوں کی)حاضری کا وقت ہے۔
017:079	اور کسی قدر رات کے حصے میں سو اس (قرآن) کے ساتھ تہجد(رات کے نوافل)پڑھا کیجئیے یہ آپ کے لئے (فرض نمازوں کے علاوہ)زیادہ ہے امید ہے کہ آپ پروردگار آپ کو مقام محمود میں جگہ عطا فرمائے گا۔
017:080	اور آپ دعا کیجئیے کہ اے میرے پروردگار! مجھے (مدینہ منورہ میں )اچھی طرح داخل کیجیواور (مکہ مکرمہ سے)اچھی طرح نکالیو اورمجھے اپنے پاس سے ایسا غلبہ دیجئیو جس کے ساتھ آپ کی مدد ہو۔
017:081	اور فرمادیجئیے کہ حق آگیا اور باطل گیا گزرا ہوگیا بے شک باطل نابود ہونے والا ہے۔
017:082	اور ہم قرآن کے ذریعے وہ چیز نازل کرتے ہیں جو ایمان والوں کے لئے شفاء اور رحمت ہے اور ظالموں کے حق میں تو اس سے نقصان ہی بڑھتا ہے۔
017:083	اور جب ہم انسان کو نعمت بخشتے ہیں تو وہ منہ موڑ لیتا ہے اور اپنی کروٹ پھیر لیتا ہے اور جب اس کو کوئی تکلیف پہنچتی ہے تو ناامید ہوجاتا ہے۔
017:084	فرما دیجئیے کہ ہر شخص اپنے طریقے پرکام کررہا ہے سو آپ کا پروردگار اس (شخص)سے خوب واقف ہے جو سب سے درست راستے پر ہے۔
017:085	اور یہ لوگ آپ سے روح کے بارے پوچھتے ہیں فرمادیجئیے کہ روح میرے پروردگار کے حکم سے ہے اور تم کوبہت تھوڑا علم دیا گیا ہے۔
017:086	اور اگر ہم چاہیں تو جس قدر وحی آپ پر بھیجی ہے سب واپس لے لیں پھر اسکے (واپس لانے کے)لئے آپ کو ہمارے مقابلے میں اپنا کوئی مددگار نہ ملے۔
017:087	مگر (یہ)آپ کے پروردگار کی رحمت ہے (کہ ایسا نہیں کیا)بے شک آپ پر اس کا بڑا فضل ہے۔
017:088	آپ فرمادیجئیے کہ اگر (تمام)انسان اور جنات (اس بات کے لئے )اکھٹے ہوجائیں کہ ایسا قرآن بنا لائیں تب بھی اس جیسا نہ لاسکیں گے اگرچہ وہ ایک دوسرے کی مدد کریں۔
017:089	اور بے شک ہم نے لوگوں (کو سمجھانے)کے لئے اس قرآن میں سب باتیں طرح طرح سے بیان فرمادیں ہیں پھر بھی اکثر لوگ انکار کیے بغیر نہ رہے۔
017:090	اور کہنے لگے ہم آپ پر ہر گز ایمان نہ لائیں گے جب تک آپ ہمارے لئے زمین سے چشمہ جاری نہ کردیں۔
017:091	یا آپ کے لئے کوئی کھجوروں اور انگوروں کا باغ ہو پس آپ اس میں جگہ جگہ نہریں جاری کردیں۔
017:092	یا جیسا کہ آپ کہا کرتے ہیں ہم پر آسمان کے ٹکڑے گرادیں یا اللہ اور فرشتوں کو (ہمارے)روبرو لے آئیں۔
017:093	یا آپ کے لئے ایک سونے کا بنا ہوا گھر ہو یا آپ آسمان پر چڑھ جائیں اور ہم آپ کے (آسمان پر)چڑھ جانے کوبھی ہرگز نہ مانیں گے جب تک آپ (وہاں سے)ہمارے لئے ایک تحریر لے کر نہ آئیں جسے ہم پڑھ لیں آپ فرمادیجئیے کہ میرا پروردگار پاک ہے کہ میں تو صرف آدمی ہوں (اور)پیغمبر ہوں۔
017:094	اور لوگوں کو ایمان لانے سے کس چیز نے روکا جب ان کے پاس ہدایت پہنچ گئی سوائے اس کے کہ کہنے لگے کیا اللہ نے آدمی کو پیغمبر بنا کر بھیجا ہے۔
017:095	فرما دیجئیے کہ اگر زمین میں فرشتے چلتے پھرتے (اور )بستے ہوتے تو ہم ان پر ضرور آسمان سے فرشتے کو پیغمبر بنا کر بھیجتے۔
017:096	آپ فرمادیجئیے کہ میرے اور تمہارے درمیان اللہ ہی کافی گواہ ہیں (کیونکہ)یقیناً وہ اپنے بندوں کو خوب جانتے (اور)دیکھتے ہیں۔
017:097	اور جس کو اللہ ہدایت دے دیں پس وہی ہدایت پانے والا ہے اور جس کو وہ گمراہ کردیں تو آپ اس (اللہ)کے سوا ان کے لئے ہرگز کوئی دوست نہیں پائیں گے اور ہم ان کو قیامت کے دن اندھے، گونگے اور بہرے بنا کر اوندھے منہ چلائیں گے ان کا ٹھکانہ دوزخ ہے جب (اس کی آگ)دھیمی ہونے لگے گی تب ہم ان کے لئے اور بھڑکا دیں گے۔
017:098	یہ ان کو اس بات کی سزا ہے یہ کہ وہ ہماری آیات کے سا تھ کفر کیا کرتے تھے اور کہتے تھے کہ کیا جب ہم ہڈیاں اور چورا چورا ہوجائیں گے تو کیا ہم پھر نئے سرے سے پیدا کیے جائیں گے؟
017:099	کیا وہ نہیں دیکھتے کہ اللہ جس نے آسمانوں اور زمین کو پیدا فرمایا ہے اس بات پہ قدرت رکھتے ہیں کہ ان جیسے آدمی دوبارہ پیدا فرمادیں اور ان کے لئے ایک وقت مقرر فرمادیا ہے جس میں ذرہ برابر شک نہیں سو اس پر بھی ظالم انکار کیے بغیر نہ رہے۔
017:100	آپ فرمادیجئیے کہ اگر میرے پروردگار کی رحمت کے خزانے تمہارے ہاتھ میں ہوتے تو پھر تم خرچ ہوجانے کے خوف سے ان کو ضرور بندرکھتے اور انسان بڑا تنگ دل ہے۔
017:101	اور بے شک ہم نے موسیٰ (علیہ السلام)کو نو(9)واضح نشانیاں (معجزات)دیں تو بنی اسرائیل سے پوچھ لیجئیے کہ جب وہ (موسیٰ علیہ السلام)ان کے پاس آئے تو فرعون نے ان سے کہا اے موسیٰ (علیہ السلام)! میرا خیال ہے تم پر ضرور کسی نے جادو کردیا ہے۔
017:102	انہوں نے فرمایا یقیناً تم یہ جانتے ہو کہ یہ سب آسمانوں اورزمین کے پروردگار کے سوا کسی نے نازل نہیں کیے جو کہ سمجھانے کے لئے ہیں اور اے فرعون! بے شک میں یہ سمجھتا ہوں کہ ضرور تیری ہلاکت کا وقت آگیا ہے۔
017:103	تو اس نے چاہا کہ ان کو اس سرزمین سے نکال دے تو ہم نے اس (فرعون)کو اور جو اس کے ساتھ تھے سب کو ڈبودیا۔
017:104	اور اس کے بعد ہم نے بنی اسرائیل سے فرمادیا کہ اس سرزمین میں رہو پھر جب آخرت کا وعدہ آئے گا تو ہم تم سب کو جمع کرکے لے آئیں گے۔
017:105	اور ہم نے اس (قرآن)کو سچائی کے ساتھ نازل فرمایا ہے اور سچائی کے ساتھ نازل ہوا اور ہم نے آپ کوصرف خوشخبری دینے والا اور (انجام بد سے)ڈرانے والا بنا کر بھیجا ہے۔
017:106	اور ہم نے اس قرآن کو جزوجزو کرکے نازل فرمایا ہے تاکہ آپ اس کو لوگوں کو ٹھہر ٹھہر کر پڑھ کر سنائیں۔ اور ہم نے اس کو آہستہ آہستہ نازل فرمایا ہے۔
017:107	فرمادیجئیے کہ تم اس پر ایمان لاؤ یا نہ لاؤ (یہ حق ہے)بے شک جن لوگوں کو اس سے پہلے (دین کا)علم دیا گیا تھا جب ان کے سامنے پڑھا جاتا ہے تو وہ ٹھوڑیوں کے بل سجدے میں گر پڑتے ہیں۔
017:108	اور کہتے ہیں ہمارا پروردگار پاک ہے بے شک ہمارے پروردگار کا وعدہ پورا ہوکر رہا۔
017:109	اور ٹھوڑیوں کے بل روتے ہوئے گرتے ہیں اور یہ (قرآن)ان کا خشوع(عاجزی)اور بڑھا دیتا ہے۔
017:110	فرمادیجئیے کہ ’اللہ‘ کہہ کر پکارو یا ’رحمن‘ کہہ کر۔ جس سے بھی تم پکارو گے سو اسی کے لئے اچھے اچھے نام ہیں اور اپنی نماز نہ تو بلند آواز سے پڑھیے اور نہ بہت آہستہ اور اس کے درمیان کا طریقہ اختیار کیجئیے۔
017:111	اور فرما دیجئیے کہ تمام خوبیاں اللہ ہی کے لئے ہیں جو نہ اولاد رکھتا ہے اور نہ سلطنت میں کوئی اس کا شریک ہے اور نہ اس وجہ سے کہ اسے کوئی ضرورت ہے کوئی اس کا مددگار ہے۔ اور اس کو بڑا جان کر اس کی بڑائی کرتے رہیے۔
018:001	تمام خوبیاں اللہ کے لیے ہیں جس نے اپنے (خاص) بندے پر (یہ) کتاب نازل فرمائی اور اس میں کسی طرح کی پیچیدگی نہیں رکھی۔
018:002	سیدھی (قائم رکھنے والی /استقامت والی /سلیس)تاکہ وہ (لوگوں کو)سخت عذاب سے ڈرائے جو اس کی طرف سے آنے والا ہے اور ایمان والوں کو جو نیک کام کرتے ہیں خوشخبری سنائے کہ ان کے لئے اچھا بدلہ (جنت)ہے۔
018:003	جس میں وہ ہمیشہ رہیں گے۔
018:004	اور ان لوگوں کو ڈرائے جو کہتے ہیں کہ اللہ اولاد رکھتا ہے۔
018:005	اس کی کوئی دلیل ان کے پاس نہیں اور نہ ان کے باپ دادوں کے پاس تھی بہت بھاری بات ہے جو ان کے منہ سے نکلتی ہے جو کچھ یہ کہتے ہیں، محض جھوٹ ہے۔
018:006	(آپ ان پر اتنا غم کھاتے ہیں )سو شاید آپ ان کے پیچھے اگر وہ اس بات (قرآن)پرایمان نہ لائے تو مارے غم کے اپنی جان ہی دے دیں(یعنی اتنا غم نہ کیجئیے)۔
018:007	بے شک ہم نے زمین پر چیزوں کو اس (زمین)کے لئے رونق کا سبب بنایا ہے تاکہ ہم ان (لوگوں)کو آزمائیں کہ ان میں کون اچھے کام کرنے والا ہے۔
018:008	اور یقیناً ہم اس پر تمام چیزوں کو(فنا کرکے)ایک صاف میدان کردیں گے۔
018:009	کیا آپ خیال کرتے ہیں یہ کہ غار والے اور رقیم (پہاڑ)والے ہمارے عجائبات (قدرت)میں سے عجیب تھے۔
018:010	جب ان نوجوانوں نے غار میں پناہ لی تو کہنے لگے اے ہمارے پروردگار! ہم کو اپنے پاس سے رحمت عطا فرمائیے اور ہمارے لئے ہمارے کام میں درستی (کا سامان)مہیا فرما دیجئیے۔
018:011	سوہم نے ان کے کانوں پر اس غار میں سال ہا سال تک (نیند کا پردہ)ڈال دیا۔
018:012	پھر ہم نے ان کو جگا اٹھایا تاکہ معلوم کریں دونوں جماعتوں میں سے جتنی مدت وہ(غار میں )رہے ہیں (اس کی مقدار)کس کو خوب یاد ہے۔
018:013	ہم ان کا واقعہ آپ سے ٹھیک ٹھیک بیان کرتے ہیں ۔ یقیناً وہ چند نوجوان تھے جو اپنے پروردگار پر ایمان لائے تھے اور ہم نے ان کو ہدایت میں اور ترقی کردی تھی۔
018:014	اور ہم نے ان کے دلوں کومربوط (مضبوط)کردیا جب وہ(دین کے لئے)اٹھ کھڑے ہوئے تو کہنے لگے ہمارا پروردگار آسمانوں اورزمین کا پروردگار ہے ہم اس کے سواہرگز کسی کومعبود جان کرنہ پکاریں گے کہ اگر ایسا کیا تو یقیناً اس وقت ہم نے بڑی ہی بے جا بات کہی۔
018:015	ہماری قوم کے ان لوگوں نے اس (اللہ)کوچھوڑ قرار دے رکھے ہیں یہ لوگ ان(معبودوں)پر کوئی واضح دلیل کیوں نہیں لاتے تواس سے بڑا ظالم کون ہوگا جو خدا پر جھوٹی تہمت لگا دے۔
018:016	اور جب تم ان سے اور ان معبودوں سے جواللہ کے سوا ہیں الگ ہوگئے ہوتو غار میں چل کررہوتمہارا پروردگارتمہارے لئے اپنی رحمت پھیلا دے گا اور تمہارے لئے اس کام میں کامیابی کا سامان درست فرما دے گا۔
018:017	اور(اے مخاطب!) جب دھوپ نکلتی ہے تو تو اس کو دیکھے گا کہ وہ ان کے غار کی داہنی جانب کوبچی رہتی ہے اور جب چھپتی ہے تو ان کے بائیں جانب ہٹی رہتی ہے اور وہ اس (غار)کے ایک فراخ موقع میں تھے یہ اللہ کی نشانیوں میں سے ہے جسے اللہ ہدایت بخشیں سو وہ ہی راہ پاتا ہے اور جسے وہ بے راہ کردیں تو آپ اس کے لئے کوئی مددگار راہ بتانے والا ہرگز نہ پائیں گے۔
018:018	اور (اے مخاطب!)تم ان کو جاگتا ہوا سمجھتے ہو حالانکہ وہ سوتے تھے اورہم ان کو(کبھی)داہنی اور(کبھی)بائیں طرف کروٹیں بدلاتے تھے اور ان کا کتا چوکھٹ پر اپنے دونوں ہاتھ پھیلائے ہوئے تھا۔ اگر (اے مخاطب!)تو ان کو جھانک کر دیکھتا تو ان سے پیٹھ پھیر کر بھاگ کھڑا ہوتا اور تیرے اندر ان کی دہشت سماجاتی۔
018:019	اور اسی طرح ہم نے ان کو جگا دیا تاکہ آپس میں ایک دوسرے سے دریافت کریں ان میں سے ایک کہنے والے نے کہا کہ تم یہاں کتنی مدت رہے؟ انہوں نے کہا کہ ہم ایک دن یا ایک دن سے بھی کچھ کم دیر رہے انہوں (دوسروں)نے کہا یہ تو تمہارا پروردگار ہی جانتا ہے کہ تم کتنا عرصہ رہے تو اپنے میں سے کسی کو یہ روپیہ دے کر شہر کی طرف بھیجو پھر وہ دیکھے کہ پاکیزہ کھانا کون ساہے سو اس میں سے تمہارے پاس کچھ کھانا لے آئے اور آہستہ آہستہ (احتیاط کے ساتھ)آجائے کہ کسی کو تمہاری خبر نہ ہونے دے۔
018:020	اگر ان لوگوں کا تم پر بس چلا گیا (تمہاری خبر ہوگئی)تو یقیناً تم کو سنگسار کردیں گے یا پھر اپنے مذہب میں داخل کرلیں گے تو ایسے میں تم ہرگز کبھی فلاح(کامیابی)نہ پاؤ گے۔
018:021	اور اس طرح ہم نے ان (لوگوں)کو ان (کے حال )سے باخبر کردیا تاکہ وہ جانیں کہ اللہ کا وعدہ سچا ہے اور یہ کہ قیامت میں کوئی شک نہیں اس وقت (اس زمانہ کے)لوگ ان کے معاملے میں آپس میں باہم جھگڑرہے تھے سو ان لوگوں نے کہا کہ ان لوگوں (کے غار)پر کوئی عمارت بنادو۔ ان کا پروردگار ان کے حال سے خوب واقف ہے جو لوگ ان کے معاملے میں غلبہ رکھتے تھے کہنے لگے ہم ضرور ان (کے غار)پر مسجد بنائیں گے۔
018:022	اب وہ (لوگ) کہیں گے وہ تین ہیں چوتھا ان کا کتا اور وہ (بعض)کہیں گے وہ پانچ ہیں چھٹا ان کا کتا ہے، بے تحقیق بات کررہے ہیں ۔ اور کہیں گے وہ سات ہیں اورآٹھواں ان کا کتا ہے۔ آپ فرمادیجئیے میرا پروردگار ان کا شمار خوب (صحیح صحیح)جانتا ہے ان (کے شمار)کوبہت تھوڑے لوگ جانتے ہیں سوآپ ان کے بارے میں سوائے سرسری بات کے زیادہ بحث نہ کیجئیے اور آپ ان کے بارے ان لوگوں میں سے کسی سے نہ پوچھئے۔
018:023	اور آپ کسی کام کی نسبت یوں نہ کہا کیجئیے کہ میں اس کو کل کردوں گا مگر اللہ کے چاہنے کو ملا لیجئیے (ان شاء اللہ کہہ لیجئیے)۔
018:024	اور جب آپ بھول جائیں تو اپنے پروردگار کا ذکر کیجئیے اور کہہ دیجئیے کہ امید ہے کہ میرا پروردگار مجھے (دلیل نبوت کے طور پر)اس سے بھی زیادہ نزدیک تر، ہدایت کی بات بتلادے۔
018:025	اور وہ لوگ اپنے غار میں (حالت نیند میں )تین سو (300)برس تک رہے اور نو(9)برس اوپر اور رہے (کل تین سو نو(309)برس رہے)۔
018:026	فرمادیجئیے کہ جتنی مدت رہے اسے اللہ ہی خوب جانتاہے اسی کے لئے ہیں آسمانوں اور زمین کی پوشیدہ باتیں وہ کیا خوب دیکھنے والا اور کیا خوب سننے والا ہے اس کے سوا ان کاکوئی کارساز نہیں اور نہ وہ اپنے حکم میں کسی کو شریک فرماتا ہے۔
018:027	اور اپنے پروردگار کی کتاب جو آپ کے پاس وحی کے ذریعے بھیجی جاتی ہے (لوگوں کے سامنے)پڑھتے رہا کیجئیے اس کی باتوں (وعدوں)کوکوئی بدل نہیں سکتا اور آپ اس کے علاوہ کوئی جائے پناہ ہرگز نہ پائیں گے۔
018:028	اور اپنے آپ کو ان لوگوں کے ساتھ روکے رکھئے جو صبح وشام (یعنی علی الدوام)اپنے پروردگار کو پکارتے ہیں اس کی خوشنودی کے طالب ہیں اور دنیا کی زندگی کی رونق کے خیال سے آپ کی توجہ ان سے ہٹنے نہ پائے اورایسے شخص کا کہنا نہ مانیئے جس کے قلب کو ہم نے اپنی یاد سے غافل کررکھا ہے اور وہ اپنی خواہش کی پیروی کرتا ہے اوراس کا کام حد سے بڑھ گیا ہے۔
018:029	اور فرمادیجئیے کہ (یہ دین)حق ہے تمہارے پروردگار کی طرف سے جس کاجی چاہے پس و ہ ایمان لے آئے اور جو کوئی چاہے پس وہ کافر رہے یقیناً ہم نے ظالموں کے لئے آگ تیار کررکھی ہے جس کی قناتیں ان کو گھیرے ہوں گی اوراگر (پیاس سے)فریاد کریں گے تو ایسے پانی سے ان کی فریاد رسی کی جائے گی جو پگھلے ہوئے تانبے کی طرح گرم(ہوگا)مونہوں کو بھون ڈالے گا کیا ہی برا پانی ہوگا اور کیاہی بری جگہ ہوگی۔
018:030	بے شک جو لوگ ایمان لائے اور نیک کام کرتے رہے تو یقیناً ہم نیک کام کرنے والوں کا اجر ضائع نہیں فرماتے۔
018:031	ایسے ہی لوگوں کے لئے ہمیشہ رہنے کے باغ ہیں جن کے تابع نہریں بہتی ہیں ان کو وہاں سونے کے کنگن پہنائے جائیں گے اوروہ باریک اور دبیز سبز ریشم کے کپڑے پہنیں گے وہاں مسہریوں پر تکیہ لگائے ہوں گے کیا ہم خوب صلہ ہے اور کیا ہی خوب جگہ ہے۔
018:032	اوران کے لئے دو شخصوں کا حال بیان کیجئیے ان میں سے ایک کو ہم نے انگور کے دو باغ دے رکھے تھے اور ان دونوں کے گردا گرد کھجوروں کے درخت سے احاطہ بنا رکھا تھا اور ہم نے ان دونوں کے درمیان کھیتی پیدا کردی تھی۔
018:033	یہ دونوں باغ اپنا پورا پورا پھل دیتے تھے اوران (کی پیداوار)میں ذرا بھی کمی نہ ہوتی تھی اور ان دونوں کے درمیان ہم نے نہر چلا رکھی تھی۔
018:034	اور اس (شخص )کو (ان کی)پیداوار ملتی رہتی تھی (ایک دن )جب کہ وہ اپنے دوست سے باتیں کررہا تھا تو اس سے کہنے لگا کہ میں تم سے مال میں بھی زیادہ ہوں اور جماعت کے لحاظ سے بھی زیادہ عزت والا ہوں۔
018:035	اور اپنے حق میں (ایسی شیخیوں سے)ظلم کرتا ہو اپنے باغ میں داخل ہوا تو کہنے لگا میں نہیں خیال کرتا کہ یہ باغ کبھی تباہ ہو۔
018:036	اور میں نہیں سمجھتا کہ قیامت برپا ہوگی اوراگر میں اپنے پروردگار کی طرف لوٹایا بھی جاؤں تو وہاں پہنچ کر ضروراس سے اچھی جگہ پاؤں گا۔
018:037	اس کادوست جواس سے گفتگو کررہا تھا کہنے لگا کیا تم اس (ذات)سے کفر کرتے ہو جس نے تم کو (اول)مٹی سے پیدا فرمایا پھر نطفہ سے پھر تم کو پورا پورا آدمی بنایا۔
018:038	لیکن میں تو کہتا ہوں کہ وہ اللہ ہی میرا پروردگار ہے اورمیں اپنے پروردگار کے ساتھ کسی کوشریک نہیں ٹھہراتا۔
018:039	اور جب تم اپنے باغ میں داخل ہوئے تو تم نے یوں کیوںنہ کہا جواللہ کو منظورہو وہی ہوتا ہے اللہ کی مدد کے سوا (کسی میں )کوئی قوت نہیں (ماشاءاللہ لاقو ۃالا باللہ)اگر تم مجھ کو مال اور اولاد میں اپنے سے کم تر دیکھتے ہو تو۔
018:040	تو عجب نہیں کہ میرا پروردگار مجھے تمہارے باغ سے اچھا عطا کردے اور اس (تمہارے باغ)پر آسمان سے آفت بھیج دے پھر وہ چٹیل میدان ہوجائے۔
018:041	یا اس کا پانی بالکل (زمین میں )اندر اتر جائے پس تم اس کو ہرگز نہ لاسکو۔
018:042	اوراس کے پھلوں (مال ومنال)کو(عذاب نے)آگھیرا اس نے جواس (باغ)پر خرچ کیا تھا اس پر ہاتھ ملتارہ گیا اوروہ (باغ)اپنی چھتریوں پر گرا ہوا (پڑا)تھا اور کہنے لگا اے کاش! میں نے اپنے پروردگار کے ساتھ کسی کو شریک نہ بنایا ہوتا۔
018:043	اور (اس وقت)اس کے لئے اللہ کے علاوہ کوئی جماعت نہ ہوئی جو اس کی مدد کرتی اور نہ وہ (خود ہم سے) بدلہ لے سکا۔
018:044	ایسے موقع پر مدد کرنا اللہ سچے (برحق)ہی کا کام ہے اسی کا ثواب اور اسی کا نتیجہ سب سے اچھا ہے۔
018:045	اور ان سے دنیا کی زندگی کی مثال بیان کیجئیے (وہ ایسی ہے)جیسے پانی جس کو ہم نے آسمان سے برسایا تو اس کے ساتھ زمین کو روئیدگی مل گئی پھر وہ چورا چورا ہوگئی کہ ہوائیں اسے اڑائے پھرتی ہیں اوراللہ ہر چیزپر قدرت رکھتے ہیں۔
018:046	مال اور بیٹے (اولاد)دنیا کی زندگی کی رونق ہیں اور باقی رہنے والے نیک اعمال آپ کے پروردگار کے نزدیک ثواب کے لحاظ سے بھی اچھے ہیں اور امید کے اعتبار سے بھی بہتر ہیں۔
018:047	اور جس دن ہم پہاڑوں کو چلائیں گے (ہٹا دیں گے)اورتم زمین کوایک کھلا میدان دیکھو گے اور ان (لوگوں)کو ہم جمع کریں گے تو ان میں سے کسی کو بھی نہیں چھوڑیں گے۔
018:048	اور سب کے سب آپ کے پروردگار کے روبرو صف باندھ کر پیش کیے جائیں گے (ارشاد ہوگا)بے شک تم ہمارے پاس ویسے ہی آگئے جیسا ہم نے تم کو پہلی بار پیدا فرمایا تھا بلکہ تمہارا خیال تو یہ تھا کہ ہم نے تمہارے لئے (قیامت کا)کوئی وقت مقرر ہی نہیں فرمایا۔
018:049	اور(اعمال کی)کتاب(کھول کر)رکھی جائے گی تو آپ مجرموں کودیکھیں گے کہ اس میں جوکچھ (لکھا)ہوگا اس سے ڈررہے ہوں گے اور کہیں گے وائے شامت! یہ کیسی کتاب ہے نہ چھوٹی بات (گناہ)کو چھوڑتی ہے اور نہ بڑی بات کو مگر اسے لکھ رکھا ہے اور جو عمل کیے ہوں گے سب کو حاضر پائیں گے اور آپ کا پروردگار کسی پر زیادتی نہیں کرے گا۔
018:050	اور جب ہم نے فرشتوں کو حکم دیا کہ آدم (علیہ السلام)کو سجدہ کرو تو سب نے کیا مگر ابلیس (نے نہ کیا)وہ جنات میں سے تھا پس اس نے اپنے پروردگار کے حکم کی نافرمانی کی۔ سو کیا تم اس کو اور اسکی اولاد (چیلے چانٹوں)کو میرے سوا دوست بناتے ہو اور حالانکہ وہ تمہارے دشمن ہیں ظالموں کیلئے (شیطان کی دوستی)برا بدل ہے۔
