# Akram-ut-Tarajum — complete official Quran translation corpus
# Source: https://www.naqshbandiaowaisiah.org/quran
# Format: surah:ayah<TAB>Urdu<TAB>English
001:001	شروع اللہ کے نام سے جو بڑے مہربان نہایت رحم کرنے والے ہیں -	Beginning with the Name of Allah, Who is Very Kind, Extremely Merciful.
024:063	پیغمبر کے بلانے (سے بات کرنے)کو ایسا نہ سمجھو جیسا تم آپس میں ایک دوسرے کو بلاتے (بات کرتے)ہو۔ بلا شبہ اللہ ان لوگوں سے واقف ہیں جو تم میں سے آنکھ بچا کر چل دیتے ہیں تو جو لوگ اس (اللہ)کے حکم کی مخالفت کرتے ہیں ان کو ڈرنا چاہیے کہ ان پر (دنیا میں )کوئی مصیبت آپڑے یا (آخرت میں )ان پر درد ناک عذاب نازل ہو۔	Do not consider the calling of the Messenger (speaking with him) as your calling (talking to) each other among yourselves. Without doubt, Allah is Aware of those who sneak away unnoticeably. So those people who oppose His (Allah’s) Command should fear lest some calamity befalls them (in the world), or a painful torment descends on them (in the Hereafter).
024:064	جان لو! جو کچھ آسمانوںمیں ہے اور زمین میں ہے بے شک سب اللہ ہی کا ہے۔ اور یقیناً اللہ اس حالت کوبھی جانتے ہیں جس پر تم (اب)ہو اور جس روز لوگ اس کی طرف لوٹائے جائیں گے تو جو عمل وہ لوگ کرتے رہے وہ (اللہ)ان کو بتادیں گے اور اللہ ہر چیز سے واقف ہیں۔	Know that whatever is in the heavens and in the earth, indeed all belongs to Allah alone. And indeed Allah also knows the condition you are (presently) in. And on the Day that people are returned to Him, He (Allah) will inform them of the deeds they had been doing. And Allah is Aware of everything.
025:001	بڑی بابرکت ذات ہے جس نے اپنے (خاص)بندے (حضرت محمدﷺ)پر یہ فیصلہ کرنے والی کتاب (قرآن)نازل فرمائی تاکہ وہ تمام دنیا جہان والوں کو (انجام بد سے )ڈرانے والے ہوں۔	Highly Blessed is the Being, Who has revealed this Book of Judgement (the Quran) to His (Special) Slave (Hazrat Muhammad - Sall Allah-o Alaihi wa Sallam), so that he may be a warner (of a bad end) to everyone in the whole world.
025:002	ایسی ذات کہ جس کے لئے آسمانوں اور زمین کی بادشاہی ہے اور جس نے (کسی کو)بیٹا نہیں بنایا اور جس کا بادشاہی میں کوئی شریک نہیں اور (جس نے)ہر چیز کو پیدا فرمایا پھر سب کو الگ الگ اندازہ رکھا۔	The Being, for Whom is the Sovereignty of the heavens and the earth, and Who has not taken (anyone as) a son, and Who has no partner in the Sovereignty, and (Who) has created everything and then kept a separate measure for all.
025:003	اور انہوں نے اس (اللہ)کے سوا معبود بنالئے ہیں جو کوئی چیز بھی پیدا نہیں کرسکتے اور وہ خود پیدا کیے گئے ہیں اور اپنے نقصان اور نفع کا کچھ اختیار نہیں رکھتے اور نہ مرنا ان کے اختیار میں ہے اور نہ جینا اور نہ مر کر اٹھ کھڑے ہونا۔	And they have set up besides Him (Allah) other deities that cannot create anything at all and they are themselves created, and have no authority over their own benefit and loss, and neither death is in their control nor life nor revival after death.
025:004	اور کافر لوگ (قرآن کے بارے)یوں کہتے ہیں کہ یہ تو کچھ بھی نہیں سوائے اس کے کہ جھوٹ ہے جس کو انہوں (پیغمبر)نے گھڑ لیا ہے اور دوسرے لوگوں نے اس میں ان کی مدد کی ہے سو بے شک یہ لوگ بڑے ظلم اور جھوٹ پر اتر آئے ہیں۔	And the unbelievers say thus (about the Quran), ‘This is just nothing but a lie which he (the Messenger) has fabricated, and other people have helped him in this.’ So undoubtedly, these people have resorted to tremendous wrong and lies.
025:005	اور کہتے ہیں یہ پہلے لوگوں کی کہانیاں ہیں جن کو ان (پیغمبر)نے لکھ رکھا ہے سو وہ صبح اور شام ان کو پڑھ پڑھ کر سنائی جاتی ہیں۔	And they say, ‘These are tales of the people of old which he (the Messenger) has written down, so they are repeatedly read out to him morning and evening.’
025:006	آپ فرما دیجئیے کہ اس (قرآن)کو اس ذات نے نازل فرمایا ہے جو سب پوشیدہ رازوں خواہ وہ آسمانوں میں ہوں اور زمین میں ان سے واقف ہیں بے شک وہ (اللہ)بخشنے والے ، مہربان ہیں۔	Say, ‘This (Quran) has been revealed by the Being, Who is Aware of all hidden secrets, be they in the heavens or the earth. Indeed He (Allah) is Forgiving, Merciful.’
025:007	اور کہتے ہیں یہ کیسے پیغمبر ہیں کہ کھانا کھاتے ہیں اور بازاروں میں چلتے پھرتے ہیں ان کے ساتھ کوئی فرشتہ کیوں نازل نہیں کیا گیا تو وہ ان کے ساتھ رہ کر (انجام بد سے)ڈراتا۔	And they say, ‘What sort of a Messenger is this who eats food and walks about in markets? Why has an angel not been sent with him, so he could have warned along with him (of a bad end)?
025:008	یا ان کے پاس (غیب سے)کوئی خزانہ آپڑتا یا ان کے لئے کوئی باغ ہوتا کہ اس میں سے کھایا کرتے۔ اور یہ ظالم یوں کہتے ہیں کہ تم صرف ایک جادوزدہ شخص کی پیروی کررہے ہو۔	Or some treasure should have been thrown down to him (from the Unseen), or there should have been a garden for him from where he should have eaten.’ And these wrongdoers say thus, ‘You are only following a bewitched person.’
025:009	دیکھیں! یہ آپ کے بارے میں کیسی باتیں کرتے ہیں۔ سو گمراہ ہوگئے پس راستہ نہیں پاسکتے۔	See what phrases they utter about you! So they have strayed, thus they cannot find the way.
025:010	وہ ذات بہت برکت والی ہے اگر وہ چاہے تو آپ کو اس سے بہتر چیزیں عطا فرمادے (یعنی)باغات جن کے تابع نہریں جاری ہوں نیز آپ کے لئے بہت سے محل بنادے۔	Highly Blessed is that Being, if He wills He can grant you better things than these, (meaning) gardens under whose directions streams flow, and make for you many palaces.
025:011	بلکہ یہ تو قیامت ہی کو جھٹلاتے ہیں اور ہم نے قیامت کو جھٹلانے والے کے لئے دوزخ تیار کررکھی ہے۔	Rather, they even deny the Qiyamah itself; and We have kept Hell prepared for the deniers of Qiyamah.
025:012	جب وہ دن کو دور سے دیکھے گی (تو غضب ناک ہورہی ہوگی اور)یہ لوگ (دور سے)اس کا جوش اور چیخنا چلانا سنیں گے۔	When it will see them from afar (it will be raging and) these people will hear its ferocity and roaring and shouting (from a distance).
025:013	اور جب یہ اس (دوزخ)کی کسی تنگ جگہ میں (زنجیروں میں )جکڑے ہوئے ڈالے جائیں گے تووہاں موت کو پکاریں گے۔	And when they are thrown, clasped (in chains), in some narrow space of this (Hell), then there they will call for death.
025:014	(ان سے کہا جائے گا)آج ایک موت کو نہ پکارو بلکہ بہت سی موتوں کو پکارو۔	(They will be told) ‘Do not call for one death but call for many deaths today.’
025:015	فرمائیے کہ کیا یہ (مصیبت کی حالت )اچھی ہے یا ہمیشہ رہنے کی جنت (بہت اچھی ہے)جس کا اللہ سے ڈرنے والوں سے وعدہ فرمایا گیا ہے کہ وہ ان کے لئے (ان کی اطاعت کا)صلہ ہے اور(آخری)ٹھکانہ ہے۔	Say, ‘Is this (state of suffering) better or is the eternal Paradise (better) which has been promised to the Allah-conscious; as that is, for them, the reward (for their obedience) and is their (final) abode.’
025:016	ان کو وہاں سب کچھ ملے گا جس کی وہ خواہش کریں گے وہ اس میں ہمیشہ رہیں گے۔ یہ ایک وعدہ ہے جو آپ کے پروردگار کے ذمہ ہے جو قابل درخواست ہے۔	There they will receive all that they desire, and they will remain in it forever. This is upon your Rabb, a binding promise that is worth requesting for.
025:017	اور جس روز اللہ ان کو اور جن کو یہ اللہ کے سوا پوجتے تھے، (سب کو)جمع فرمائیں گے۔ پھر (ان سے جن کو یہ پوجتے تھے)فرمائیں گے، کیا تم نے میرے ان بندوں کو گمراہ کیا تھا یا یہ (خود ہی)گمراہ ہوگئے تھے؟۔	And the Day Allah will gather (all of) them and those whom they worshiped besides Allah, then will say (to those whom they used to worship), ‘Did you lead these slaves of Mine astray, or did they (themselves) go astray?’
025:018	وہ عرض کریں گے آپ کی ذات پاک ہے ہماری کیا مجال تھی کہ ہم آپ کے سوا اور کارسازوں کو تجویز کرتے ولیکن آپ نے ان کو اور ان کے بڑوں کو (خوب)نعمتیں دیں یہاں تک کہ وہ (آپ کی)یاد(ذکر)بھول گئے اور یہ ہلاک ہونے والے تھے۔	They will submit, ‘Hallowed are You! How could we dare to have proposed patrons other than You. But You granted (great) blessings to them and their elders till they forgot (Your) Remembrance (Zikr), and they became the doomed ones.’
025:019	(تو ارشاد ہوگا)تمہارے ان معبودوں نے تو یقیناً تمہاری باتوں کو جھوٹا ٹھہرادیا سو اب تم نہ تو خود (عذاب کو)ٹال سکتے ہو اور نہ (کسی دوسرے کی)مدد حاصل کرسکتے ہو اور جو شخص تم میں سے ظلم (شرک)کرے گا ہم اس کو بڑے عذاب (کا مزہ)چکھائیں گے۔	(So, it will be said), ‘Your these deities have indeed belied your claims; so now you can neither avert (the torment) yourselves and nor get help (from someone).’ And whoever among you commits wrong (polytheism), We shall make him savour the (taste of a) great torment.
025:020	اور ہم نے آپ سے پہلے جتنے پیغمبر بھیجے ہیں سب کھانا کھاتے تھے اور بازاروں میں بھی چلتے پھرتے تھے اور (لوگو!)ہم نے تم میں سے ایک دوسرے کے لئے آزمائش (کا ذریعہ)بنایا ہے کیا تم صبر کرو گے؟ (یعنی صبر کرنا چاہیے) اور آپ کا پروردگار خوب دیکھ رہا ہے۔	And all the Messengers whom We sent before you used to eat food and also used to walk about in the markets. And, (O people!) We have made one of you a (means of) trial for the other; will you have patience? (Meaning, you should have patience). And your Rabb is Watching thoroughly.
025:021	اور جو لوگ ہمارے سامنے پیش ہونے کی امید نہیں رکھتے، کہتے ہیں کہ ہم پر فرشتے کیوںنازل نہیں کیے گئے یا ہم (اپنی آنکھ سے)اپنے پروردگار کو دیکھ لیں یقیناً یہ اپنے خیال میں اپنے آپ کوبہت بڑا سمجھ رہے ہیں اور اسی وجہ سے بڑے سرکش ہورہے ہیں۔	And the people who do not hope to be presented before Us say, ‘Why have the angels not been sent down to us, or we (should) see our Rabb (with our eyes).’ Indeed they are thinking too highly of themselves, and because of this are being greatly rebellious.
025:022	جس روز فرشتوں کو دیکھیں گے اس روز مجرموں کے لئے کوئی خوشی کی بات نہ ہوگی اور کہیں گے (کاش تم لوگ)روک (بند کر)دیئے جاؤ۔	On the Day they see the angels, there will be no happy news for the criminals one that Day, and they will say, ‘(If only you people could) be stopped (restrained).’
025:023	اور (اس دن)ہم ان(کفار)کے(اچھے)کاموں کی طرف (جو کبھی دنیا میں کیے ہوں گے)متوجہ ہوں گے تو ان کو اڑتی خاک کردیں گے۔	And (on that Day) We shall turn to their (the unbeliever’s) (good) deeds (which they may have performed in the world), so (We) shall make them into scattered dust.
025:024	اس دن اہل جنت قیام گاہ میں بھی اچھے رہیں گے اور آرام گاہ میں بھی خوب اچھے ہوں گے۔	On that Day the people of Paradise will be well in (their) abode, and also be extremely well in (their) place of repose.
025:025	اور جس دن آسمان ایک بدلی پر سے پھٹ جائے گا اور فرشتے بکثرت اتارے جائیں گے۔	And on the Day the sky will burst from above a small cloud, and the angels will be sent down in great multitudes.
025:026	اس دن حقیقی حکومت رحمن (اللہ، ہی) کی ہوگی اوروہ کافروں پربڑا سخت دن ہوگا۔	On that Day, the true Sovereignty will be (only that) of Rahman (Allah alone), and that will be a very hard day on the unbelievers.
025:027	اور جس دن ظالم (کافر)اپنے ہاتھ کاٹ کاٹ کر کھائے گا کہے گا اے کاش! میں پیغمبر کے ساتھ (دین کی)راہ پر لگ گیا ہوتا۔	And the Day when the wrongdoer (unbeliever) will repeatedly bite and gnaw his hand. He will say, ‘O alas! Would that I had taken the path (of the Deen) with the Messenger!
025:028	ہائے شامت! کیا ہی اچھا ہوتا کہ میں نے فلاں شخص کو دوست نہ بنایا ہوتا۔	O woe! How much better it would have been, had I not taken such and such person as a friend!
025:029	بے شک اس نے مجھے میرے پاس نصیحت (کتاب)کے آنے کے بعد اس سے بہکا دیا اور شیطان انسان کو (وقت پر)دغا دینے والا ہے۔	Without doubt, he misled me from the Advice (Book) after it had come to me; and Shaitan is a betrayer to man (at the crucial moment).’
025:030	اور (اس دن)پیغمبر عرض کریں گے کہ اے میرے پروردگار! بے شک میری قوم نے اس قرآن کو نظر انداز کررکھا تھا۔	And (that Day) the Messenger will say, ‘O my Rabb! Indeed my people had ignored this Quran.’
025:031	اور اسی طرح ہم نے گناہگاروں میں سے ہر پیغمبر کا دشمن بنا دیا اور آپ کا پروردگار ہدایت دینے اور مدد فرمانے کے لئے کافی ہے۔	And likewise We have appointed an enemy from among the unbelievers for every Messenger; and your Rabb is Sufficient to guide and to help.
025:032	اور کافر لوگ یوں کہتے ہیں کہ ان پر یہ قرآن ایک ہی بار کیوں نازل نہیں کیا گیا اس طرح (آہستہ آہستہ اس لئے نازل فرمایا گیا) کہ اس سے ہم آپ کے دل کو قائم رکھیں اور (اسی لئے)ہم نے اس کو ٹھہر ٹھہر کر اتارا ہے۔	And the unbelieving people say thus, ‘Why has this Quran not been revealed to him all at once?’ In this manner, (it was revealed gradually and slowly) so that We may establish your heart with it, and (for this reason) We have revealed it intermittently in stages.
025:033	اور یہ لوگ آپ کے پاس جو اعتراض کی بات لاتے ہیں ہم آپ کے پاس (اس کا)معقول اور خوب وضاحت سے جواب بھیج دیتے ہیں۔	And whatever objection these people bring to you, We send you (its) judicious and elaborate reply.
025:034	جو لوگ اپنے مونہوں کے بل دوزخ کی طرف لے جائے جائیں گے ان ہی لوگوں کا ٹھکانہ بھی برا ہے اور وہ راستے سے بھی بھٹکے ہوئے ہیں۔	The people who will be driven towards Hell on their faces, it is these people for whom is a bad abode and they have also strayed from the path.
025:035	اور یقیناً ہم نے موسیٰ (علیہ السلام)کو کتاب دی تھی اور ہم نے ان کے ساتھ ان کے بھائی ہارون(علیہ السلام) کو(ان کا)معاون بنایا تھا۔	And indeed We gave Musa (Alaihi as-Salam) the Book and We had made his brother Haroon (Alaihi as-Salam) (his) assistant.
025:036	پھر ہم نے (ان دونوںکو)حکم دیا کہ دونوں ان لوگوں کے پاس جائیں جنہوں نے ہماری آیات کو جھٹلایا سو ہم نے ان کو بالکل ہی تباہ کردیا۔	Then We commanded (them both), ‘Go both of you to the people who have belied Our Ayaat.’ So We totally annihilated them (those people).
025:037	اور قوم نوحؑ کو جب انہوں نے پیغمبروں کو جھٹلایا تو ہم نے انہیں غرق کردیا اور ان کو لوگوں کے لئے نشانی (نشان عبرت)بنا دیا اور ظالموں کے لئے ہم نے دکھ دینے والا عذاب تیار کررکھا ہے۔	And the people of Nooh (Alaihi as-Salam), when they belied the Messengers, We drowned them and made them a (warning) sign for people, and We have prepared a painful torment for the wrongdoers.
025:038	اور عاد اور ثمود اور کنویں والے اور ان کے درمیان بہت سی امتوں کو بھی (ہم نے ہلاک کردیا)۔	And (We destroyed) the ‘Aad and the Samood and the People of the Well and also many communities in between them.
025:039	اور سب کو (سمجھانے کے لئے) ہم نے مثالیں بیان فرمائیں اور (نہ ماننے پر)ہم نے سب کو تہس نہس کردیا۔	And We cited examples to all (for their understanding), and We utterly annihilated them all (for their not believing).
025:040	اور یہ (کفار مکہ) اس بستی پر ہوکر گزرے ہیں جس پر پتھر برسائے گئے تو کیا وہ اس کو دیکھتے نہ ہوں گے بلکہ ان کو(مرنے کے بعد)جی اٹھنے کی امید ہی نہیں۔	And these (unbelievers of Makkah) pass by the township on which stones were rained, so would they not be seeing it? Rather, they have no hope of being revived (after death).
025:041	اور جب یہ لوگ آپ کو دیکھتے ہیں تو آپ کا مذاق ہی اڑاتے ہیں( اورکہتے ہیں)کیا یہی شخص ہے جس کو اللہ نے پیغمبر بنا کر بھیجا ہے۔	And when these people see you, they only make fun of you (and say), ‘Is he the one whom Allah has appointed and sent as a Prophet?
025:042	اس شخص نے تو ہم کو ہمارے معبودوں سے ہٹا ہی دیا ہوتا اگر ہم ان پر (مضبوطی سے)قائم نہ رہتے اور جلد ہی ان کو معلوم ہوجائے گا جب عذاب کو دیکھیں گے کہ کون گمراہ تھا؟۔	This person would have only led us away us from our deities had we not remained (firmly) steadfast to them.’ And soon will they come to know when they see the torment, as to who was astray?
025:043	بھلا آپ نے اس شخص کا حال دیکھا جس نے اپنی خواہش نفس کو اپنا معبود بنارکھا ہے تو کیا آپ اس کی نگرانی کرسکتے ہیں؟۔	Well then, have you seen the condition of the person who has taken the desire of his Nafs as his Ilaha? So can you keep a watch over him?
025:044	یا آپ خیال کرتے ہیں کہ ان میں سے اکثر سنتے یا سمجھتے ہیں؟ یہ تو محض چوپایوں کی طرح ہیں بلکہ ان سے بھی زیادہ راہ سے بھٹکے ہوئے ہیں۔	Or do you think that most of them hear or understand? They are just like cattle; rather they are even farther astray from the path than them.
025:045	(اے مخاطب!)بھلا تو نے اپنے پروردگار (کی قدرت)کو نہیں دیکھا کہ وہ سائے کو کیسے پھیلا دیتے ہیں اور اگر وہ چاہتے تو اس کو ایک حالت پر ٹھہرا دیتے پھر ہم نے سورج کو اس (درازی وکوتاہی)پر ملامت مقرر فرمایا۔	(O addressee!) Well then, have you not observed (the Omnipotence of) your Rabb, how He spreads the shadow? And had He willed He could have kept it still in one position. Then We made the sun an indicator (over its lengthening and shortening).
025:046	پھر ہم نے اس کو اپنی طرف آہستہ آہستہ سمیٹ لیا۔	Then We gradually drew it in towards Us.
025:047	اور وہی ذات ہے جس نے تمہارے لئے رات کو پردہ اور نیندکو آرام بنایا اور دن کو اٹھ کھڑے ہونے کا وقت بنایا۔	And He is the Being, Who has made the night a veil and the sleep a repose, and made the day a time to arise.
025:048	اور وہی ذات ہے کہ اپنی رحمت کی بارش سے پہلے ہواؤں کو خوشخبری بنا کر بھیجتی ہے اور ہم آسمان سے پاک (نتھرا ہوا)پانی برساتے ہیں۔	And He is the Being, Who sends forth the winds as the carrier of good news before the rain of His Mercy, and We rain pure (clean) water from the sky.
025:049	تاکہ ہم اس سے مردہ زمین میں جان ڈال دیں اور اپنی مخلوقات میں سے چارپایوں اوربہت سے آدمیوں کو سیراب کریں۔	So that We may put life into the dead earth with it, and water the cattle and many of the human beings from among Our creation.
025:050	اور ہم نے اس (قرآن)کو ان میں طرح طرح سے بیان فرمایا تاکہ نصیحت حاصل کریں سو بہت سے لوگ ناشکری کیے بغیر نہ رہ سکے۔	And We explained this (Quran) among them in various ways, so that they may take advice. Yet many people could not remain without being ungrateful.
025:051	اور اگر ہم چاہتے تو ہر بستی میں (انجام بدسے)ڈرانے والا بھیج دیتے۔	And had We willed We could have sent a warner (of a bad end) to every township.
025:052	تو آپ کافروں کی بات نہ مانیں اور اس(قرآن)کے مطابق ان سے پوری قوت سے جہاد کیجئیے۔	So do not obey the unbelievers, and carry out Jihad against them with all your might in accordance with it (the Quran).
025:053	اور وہی ذات ہے جس نے دو دریاؤں (کے پانی)کو (صورتاً)ملادیا۔ ایک(کاپانی)میٹھا ہے پیاس بجھانے والا اور ایک (کا)شور( اور)تلخ ہے اور ان دونوں کے درمیان ایک آڑ اور مضبوط اوٹ بنادی۔	And He is the Being, Who (outwardly) joined (the waters of) the two rivers; (the water of) one is sweet, a slaker of thirst, and (of) one is salty (and) bitter, and He erected a barrier and a strong partition between them.
025:054	اور وہی ذات ہے جس نے پانی (نطفہ)سے آدمی کو پیدا فرمایا پھر اس کو خاندان والا اور سسرال والا بنایا اور (اے مخاطب!)تیرا پروردگار بڑی قدرت والا ہے۔	And He is the Being, Who created man from water (semen), then granted him kinship through lineage and marriage. And (O addressee!) your Rabb possesses Great Power.
025:055	اور(باوجود اس کے)یہ لوگ اللہ کو چھوڑ کر ان چیزوں کی عبادت کرتے ہیں جو نہ ان کونفع پہنچا سکتی ہیں اور نہ ان کو نقصان پہنچا سکتی ہیں اور کافر اپنے پروردگار کی مخالفت میں بہت زور مارتا ہے۔	And (despite this) these people forsake Allah and worship the things that can give them neither benefit and nor cause them harm. And the unbeliever strives very hard in opposing his Rabb.
025:056	اور ہم نے آپ کو صرف خوشی اور عذاب کی خبر سنانے کو بھیجا ہے۔	And We have sent you only to convey the news of happiness and of torment.
025:057	فرمادیجئیے کہ میں اس پر تم سے کوئی اجرت نہیں مانگتا ہاں جو شخص چاہے اپنے پروردگار کی طرف (جانے کا)راستہ اختیار کرے۔	Say, ‘I do not ask you any recompense for this. Yes, whoever wants may adopt the way (to go) towards his Rabb.’
025:058	اور اس (اللہ)زندہ پر بھروسہ رکھیں جو(کبھی)نہیں مرے گا اور اسکی تعریف کے ساتھ تسبیح کرتے رہیے اور وہ اپنے بندے کے گناہوں سے خبر رکھنے کو کافی ہے۔	And trust in Him (Allah), the Alive, Who will never die, and keep celebrating His Glory with Praise. And He is Sufficient to be Aware of the sins of His slave.
025:059	جس ذات نے آسمانوں اور زمین کو اور جو کچھ ان میں ہے، (سب کو)چھ دن میں پیدا فرمایا پھر عرش پر قائم ہوا، وہ بڑا مہربان ہے پس اس کی شان کسی جاننے والے سے پوچھنا چاہیے۔	The Being, Who created the heavens and the earth and whatever is in them (all) in six days, then established Himself on the Throne. He is very Kind, so ask about His Majesty from someone who is aware.
025:060	اور جب ان سے کہا جاتا ہے کہ اس بڑے مہربان (رحمن)کو سجدہ کرو تو کہتے ہیں کہ بڑا مہربان (رحمن) کیا چیزہے۔ کیا ہم اس کو سجدہ کرنے لگیں جس (کو سجدہ کرنے)کو تم ہم کو کہتے ہو۔ اور ان کو اور زیادہ نفرت بڑھتی ہے۔	And when it is said to them, ‘Prostrate yourself before the Most Kind (Rahman)’, they say, ‘What is the Most Kind (Rahman)? Should we start prostrating ourselves unto Him, who you tell us (to prostrate)?’ And their hatred increases all the more.
025:061	وہ ذات بڑی برکت والی ہے جس نے آسمان میں بڑے بڑے ستارے (برج)بنائے اور اس میں ایک چراغ (سورج) اورروشن چاند بنایا۔	Extremely Blessed is the Being, Who made massive stars (towers) in the sky, and in it made a lamp (the sun) and a shining moon.
025:062	اور وہ ذات ہے جس نے رات اور دن ایک دوسرے کے پیچھے آنے جانے والے بنائے ( اور یہ عمل)اس کے لئے جو سمجھنا چاہے یا شکرادا کرنا چاہے۔	And He is the Being, Who made the day and night to follow each other, (and this arrangement is) for him who desires to understand or desires to offer thanks.
025:063	اور رحمٰن(اللہ)کے (خاص)بندے وہ ہیں جو زمین پرعاجزی کے ساتھ چلتے ہیں اورجب جاہل لوگ ان سے (جہالت کی)بات کرتے ہیں تو رفع شر کی بات (سلام)کہتے ہیں۔	And the (special) slaves of the Rahman (Allah) are those who walk in the land with humility, and when the ignorant speak to them (ignorantly), they reply with mischief-dispelling words (Salam).
025:064	اور جو راتوں کو اپنے پروردگار کے سامنے سجدہ اور قیام میں لگے رہتے ہیں۔	And those who spend the nights in prostration and standing before their Rabb.
025:065	اور جو یہ دعائیں کرتے ہیں کہ اے ہمارے پروردگار ! دوزخ کے عذاب کو ہم سے دور رکھو۔ بے شک اس کا عذاب بہت تکلیف کی چیز ہے۔	And those who pray, ‘O our Rabb! Keep the torment of Hell away from us; indeed its torment is a very painful thing.
025:066	یقیناً وہ ٹھہرنے اور رہنے کی بہت بری جگہ ہے۔	Indeed, it is a very bad place to stay and abide.’
025:067	اور وہ لوگ کہ جب خرچ کرتے ہیں تو بے جا نہیں کرتے اور نہ تنگی کرتے ہیں اور ان کا خرچ اس کے درمیان اعتدال پر ہوتا ہے۔	And the people who are neither extravagant nor miserly when they spend, and their spending is moderate in between.
025:068	اور وہ جو اللہ کے ساتھ کسی اور معبود کی پرستش نہیں کرتے اور جس کے قتل کو اللہ نے حرام ٹھہرایا ہے اس کو قتل نہیں کرتے ہاں مگر حق کے ساتھ (یعنی اگر اللہ کا حکم ہو تو) اور وہ زنا نہیں کرتے۔ اور جو شخص ایسے اعمال کرے گا سخت گناہ میں مبتلا ہوگا۔	And they do not worship any Ilaha besides Allah, and do not kill anyone whose killing Allah has forbidden, yes except (when due) with truth (meaning, only if Allah has so commanded), and they do not commit adultery. And whoever commits such acts, will be indulging in grave sin.
025:069	قیامت کے روز اس کا عذاب بڑھتا جائے گا اور وہ اس میں ہمیشہ ذلیل وخوار رہے گا۔	His torment will keep on increasing on the Day of Qiyamah, and he will remain in it forever, disgraced and humiliated.
025:070	مگر جو (شرک وگناہ سے) توبہ کرلے اور ایمان بھی لے آئے (عقیدہ درست کرلے) اور نیک کام کرتا رہے تو اللہ ایسے لوگوں کو ان کے (گزشتہ)گناہوں کی جگہ نیکیاں عطا فرمائیں گے اور اللہ تو بخشنے والے مہربان ہیں۔	But whoever repents (from polytheism and sin) and also believes (reforms his belief) and keeps performing righteous deeds, then to such people Allah will award virtues in place of their (previous) sins, and Allah is ever Forgiving Merciful.
025:071	اور جو توبہ کرتا ہے اور نیک عمل کرتا ہے تو بے شک وہ خاص طور پر اللہ کی طرف رجوع کرتا ہے۔	And he who repents and performs righteous deeds, then undoubtedly he turns specifically towards Allah.
025:072	اور وہ لوگ بیہودہ باتوں میں شامل نہیں ہوتے اور اگر (اتفاقاً)بیہودہ باتوں کے پاس سے گزر ہو تو سنجیدگی سے گزر جاتے ہیں۔	And those people do not participate in nonsensical activities, and if (by chance) they pass by nonsensical activities, they pass by solemnly.
025:073	اور جب ان کو ان کے پروردگارکی آیتیں پڑھ کر سنائی جاتی ہیں تو ان پر بہرے اور اندھے ہوکر نہیں گرتے (غور وفکر سے سنتے ہیں)۔	And when the Ayaat of their Rabb are read out to them, (they) do not fall as deaf and blind upon them (but listen to them with attention and reflection).
025:074	اور وہ لوگ دعا کرتے رہتے ہیں اے ہمارے پروردگار! ہم کو ہماری بیویوں کی طرف سے اور ہماری اولاد کی طرف سے آنکھوں کی ٹھنڈک (راحت)عطا فرمائیے اور ہم کو پرہیزگاروں کا پیشوا بنادیجئیے۔	And they keep praying, ‘O our Rabb! Bestow upon us the coolness of our eyes (comfort) from our wives and children, and make us the leaders of the Allah-conscious.
025:075	ان لوگوں کو صبر کے بدلے اور اونچے اونچے محل دیئے جائیں گے اور وہاں (فرشتے)ان سے دعاوسلام کے ساتھ ملاقات کریں گے۔	These people will be granted lofty palaces as reward for their patience, and there they will be greeted (by the angels) with prayers and Salam.
025:076	اس میں وہ ہمیشہ رہیں گے وہ ٹھہرنے اور رہنے کی بہت ہی عمدہ جگہ ہے۔	They will abide in them forever. That is an excellent place to stay and reside.
025:077	فرمادیجئیے کہ اگر تم (اللہ کو)نہیں پکارتے تو میرا پروردگار بھی تمہاری کچھ پرواہ نہیں کرتا تو یقیناً تم نے جھٹلایا ہے سو اس کی سزا (تمہارے لئے)جلد لازم ہوگی۔	Say, ‘If you do not invoke (Allah), then my Rabb also does not care for you at all. Indeed you have denied, so its punishment will soon become due (for you).
026:001	طسم	TA-SEEN-MEEM.
026:002	یہ ایک روشن کتاب (قرآن)کی آیتیں ہیں۔	These are the Ayaat of a Luminous Book (Quran).
026:003	شاید آپ ان کے ایمان نہ لانے پر(رنج کرتے ہوئے)اپنی جان ہی دے دیں گے۔	Perhaps you will even give up your life (grieving) that they do not become believers.
026:004	اگر ہم چاہیں (ان کے ایمان لانے کے لئے)تو ان پر آسمان سے ایک بڑی نشانی اتار دیں تو اسکے آگے ان کی گردنیں جھک جائیں۔	If We will (for them to believe) We could send down a great sign from the sky on them, so their necks would bow before it.
026:005	اور ان کے پاس تازہ نصیحت رحمن(اللہ)کے پاس سے نہیں آتی جس سے یہ منہ نہ پھیرلیتے ہوں۔	And there comes not to them from the Rahman (Allah) any fresh advice, from which they do not turn their faces.
026:006	سو انہوں نے تو (دین حق)کو جھوٹا بتایا پس عنقریب ان کو اس بات کی حقیقت معلوم ہوجائے گی جس کا یہ مذاق اڑاتے تھے۔	So they have belied (the True Deen), thus they will soon come to know the reality of that which they used to make fun of.
026:007	کیا انہوں نے زمین کی طرف نہیں دیکھا کہ ہم نے اس میں کتنی ہی نفیس چیزوں کے جوڑے اگائے ہیں۔	Have they not seen the earth, how many pairs of exquisite things We have grown in it.
